ALMACEN,SHIPTO,DIA,MES,A¥O,ARTICULO,DISPONIBLE
103-OBREGO,M3033036,26,12,2025,04929,12
103-OBREGO,M3033036,26,12,2025,05035,5
103-OBREGO,M3033036,26,12,2025,05044,4
103-OBREGO,M3033036,26,12,2025,05071,16
103-OBREGO,M3033036,26,12,2025,05188,3
103-OBREGO,M3033036,26,12,2025,05261,10
103-OBREGO,M3033036,26,12,2025,05341,4
103-OBREGO,M3033036,26,12,2025,05455,4
103-OBREGO,M3033036,26,12,2025,05538,18
103-OBREGO,M3033036,26,12,2025,05628,16
103-OBREGO,M3033036,26,12,2025,05800,2
103-OBREGO,M3033036,26,12,2025,05821,8
103-OBREGO,M3033036,26,12,2025,05855,12
103-OBREGO,M3033036,26,12,2025,06073,4
103-OBREGO,M3033036,26,12,2025,06122,1
103-OBREGO,M3033036,26,12,2025,06238,4
103-OBREGO,M3033036,26,12,2025,06260,4
103-OBREGO,M3033036,26,12,2025,06367,4
103-OBREGO,M3033036,26,12,2025,06513,29
103-OBREGO,M3033036,26,12,2025,06697,4
103-OBREGO,M3033036,26,12,2025,06748,8
103-OBREGO,M3033036,26,12,2025,07016,8
103-OBREGO,M3033036,26,12,2025,07144,1
103-OBREGO,M3033036,26,12,2025,07251,4
103-OBREGO,M3033036,26,12,2025,07282,9
103-OBREGO,M3033036,26,12,2025,07283,10
103-OBREGO,M3033036,26,12,2025,07337,4
103-OBREGO,M3033036,26,12,2025,07652,4
103-OBREGO,M3033036,26,12,2025,07685,4
103-OBREGO,M3033036,26,12,2025,07769,2
103-OBREGO,M3033036,26,12,2025,07789,4
103-OBREGO,M3033036,26,12,2025,08179,4
103-OBREGO,M3033036,26,12,2025,08221,2
103-OBREGO,M3033036,26,12,2025,08247,8
103-OBREGO,M3033036,26,12,2025,08280,2
103-OBREGO,M3033036,26,12,2025,08419,4
103-OBREGO,M3033036,26,12,2025,08533,20
103-OBREGO,M3033036,26,12,2025,08562,4
103-OBREGO,M3033036,26,12,2025,08806,1
103-OBREGO,M3033036,26,12,2025,08843,4
103-OBREGO,M3033036,26,12,2025,09100,24
103-OBREGO,M3033036,26,12,2025,09376,4
103-OBREGO,M3033036,26,12,2025,09453,4
103-OBREGO,M3033036,26,12,2025,09530,1
103-OBREGO,M3033036,26,12,2025,09723,4
103-OBREGO,M3033036,26,12,2025,10031,8
103-OBREGO,M3033036,26,12,2025,10183,1
103-OBREGO,M3033036,26,12,2025,10199,6
103-OBREGO,M3033036,26,12,2025,10431,19
103-OBREGO,M3033036,26,12,2025,10581,7
103-OBREGO,M3033036,26,12,2025,10756,5
103-OBREGO,M3033036,26,12,2025,10867,4
103-OBREGO,M3033036,26,12,2025,11139,4
103-OBREGO,M3033036,26,12,2025,11194,4
103-OBREGO,M3033036,26,12,2025,11201,8
103-OBREGO,M3033036,26,12,2025,11370,4
103-OBREGO,M3033036,26,12,2025,11610,4
103-OBREGO,M3033036,26,12,2025,11744,16
103-OBREGO,M3033036,26,12,2025,11824,5
103-OBREGO,M3033036,26,12,2025,12184,10
103-OBREGO,M3033036,26,12,2025,12201,1
103-OBREGO,M3033036,26,12,2025,12719,4
103-OBREGO,M3033036,26,12,2025,12726,4
103-OBREGO,M3033036,26,12,2025,12822,4
103-OBREGO,M3033036,26,12,2025,12929,8
103-OBREGO,M3033036,26,12,2025,13079,4
103-OBREGO,M3033036,26,12,2025,13155,6
103-OBREGO,M3033036,26,12,2025,13389,2
103-OBREGO,M3033036,26,12,2025,13468,12
103-OBREGO,M3033036,26,12,2025,13647,16
103-OBREGO,M3033036,26,12,2025,13823,4
103-OBREGO,M3033036,26,12,2025,13990,7
103-OBREGO,M3033036,26,12,2025,14003,8
103-OBREGO,M3033036,26,12,2025,14198,4
103-OBREGO,M3033036,26,12,2025,14294,1
103-OBREGO,M3033036,26,12,2025,14355,15
103-OBREGO,M3033036,26,12,2025,14708,14
103-OBREGO,M3033036,26,12,2025,14791,4
103-OBREGO,M3033036,26,12,2025,14827,4
103-OBREGO,M3033036,26,12,2025,15025,8
103-OBREGO,M3033036,26,12,2025,15072,1
103-OBREGO,M3033036,26,12,2025,15149,4
103-OBREGO,M3033036,26,12,2025,15284,12
103-OBREGO,M3033036,26,12,2025,15477,19
103-OBREGO,M3033036,26,12,2025,15545,4
103-OBREGO,M3033036,26,12,2025,15701,7
103-OBREGO,M3033036,26,12,2025,15830,2
103-OBREGO,M3033036,26,12,2025,15903,3
103-OBREGO,M3033036,26,12,2025,16079,16
103-OBREGO,M3033036,26,12,2025,16168,1
103-OBREGO,M3033036,26,12,2025,16681,4
103-OBREGO,M3033036,26,12,2025,16840,2
103-OBREGO,M3033036,26,12,2025,16903,8
103-OBREGO,M3033036,26,12,2025,17137,4
103-OBREGO,M3033036,26,12,2025,17305,4
103-OBREGO,M3033036,26,12,2025,17400,3
103-OBREGO,M3033036,26,12,2025,17722,8
103-OBREGO,M3033036,26,12,2025,17729,4
103-OBREGO,M3033036,26,12,2025,17963,6
103-OBREGO,M3033036,26,12,2025,18361,4
103-OBREGO,M3033036,26,12,2025,18570,6
103-OBREGO,M3033036,26,12,2025,18580,4
103-OBREGO,M3033036,26,12,2025,18620,4
103-OBREGO,M3033036,26,12,2025,18748,4
103-OBREGO,M3033036,26,12,2025,18861,6
103-OBREGO,M3033036,26,12,2025,18885,4
103-OBREGO,M3033036,26,12,2025,19118,8
103-OBREGO,M3033036,26,12,2025,19316,8
103-OBREGO,M3033036,26,12,2025,19337,10
103-OBREGO,M3033036,26,12,2025,19422,4
103-OBREGO,M3033036,26,12,2025,19679,4
103-OBREGO,M3033036,26,12,2025,19795,16
103-OBREGO,M3033036,26,12,2025,20092,4
103-OBREGO,M3033036,26,12,2025,20375,4
103-OBREGO,M3033036,26,12,2025,20563,8
103-OBREGO,M3033036,26,12,2025,20594,17
103-OBREGO,M3033036,26,12,2025,20629,8
103-OBREGO,M3033036,26,12,2025,20709,10
103-OBREGO,M3033036,26,12,2025,20817,4
103-OBREGO,M3033036,26,12,2025,20887,4
103-OBREGO,M3033036,26,12,2025,20923,4
103-OBREGO,M3033036,26,12,2025,20926,12
103-OBREGO,M3033036,26,12,2025,21086,2
103-OBREGO,M3033036,26,12,2025,21295,2
103-OBREGO,M3033036,26,12,2025,21420,4
103-OBREGO,M3033036,26,12,2025,21618,4
103-OBREGO,M3033036,26,12,2025,21717,4
103-OBREGO,M3033036,26,12,2025,21818,29
103-OBREGO,M3033036,26,12,2025,21830,8
103-OBREGO,M3033036,26,12,2025,21842,4
103-OBREGO,M3033036,26,12,2025,21891,14
103-OBREGO,M3033036,26,12,2025,22064,4
103-OBREGO,M3033036,26,12,2025,22195,4
103-OBREGO,M3033036,26,12,2025,22270,4
103-OBREGO,M3033036,26,12,2025,23353,12
